Key,Type,Severity,Component,Line,Message,Effort,RuleName,HowToFix,Tags
13cc39f7-7ed6-465d-b79d-1e864e559cc2,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:electron-ui/preload-browser.cjs,78,"Prefer `.dataset` over `setAttribute(…)`.",5min,"Data attributes should be accessed using "".dataset""","",""
7bdda9d2-0793-491c-ba47-9f61c57b9d39,CODE_SMELL,MINOR,strategic-learning-unified-theatre:electron-ui/preload-browser.cjs,107,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
0dcc1664-9964-4860-a45c-710b2cdd6341,CODE_SMELL,MINOR,strategic-learning-unified-theatre:electron-ui/preload-browser.cjs,177,"Prefer `globalThis` over `window`.",2min,"Use ""globalThis"" instead of ""window"", ""self"", or ""global""","",""
af5c28c7-abe4-465d-bd99-26276057df12,CODE_SMELL,MAJOR,strategic-learning-unified-theatre:smoke-test-sprint12.js,279,"Prefer top-level await over using a promise chain.",5min,"Top-level await should be preferred over wrapped async operations","",""
bf9693bc-8eed-483d-bed7-d7278d79a43c,CODE_SMELL,MINOR,strategic-learning-unified-theatre:src/commands/ai.js,36,"arrow function is equivalent to `String`. Use `String` directly.",5min,"Wrapper functions around built-in type conversion functions should be avoided","",""
872cc2b5-f00d-4601-9f30-b4a9a81c8bc3,CODE_SMELL,CRITICAL,strategic-learning-unified-theatre:src/llm/experience-db.js,154,"Refactor this asynchronous operation outside of the constructor.",5min,"Constructors should not contain asynchronous operations","",""
e53a1f0d-ce93-4c97-bd3e-48fc6d29c569,CODE_SMELL,MINOR,strategic-learning-unified-theatre:tests/ai-memory.test.js,24,"Remove this unused import of 'CommandsRepo'.",1min,"Unnecessary imports should be removed","",""
b412918f-8ef0-4a38-aea3-a609d2f3e85d,CODE_SMELL,MINOR,strategic-learning-unified-theatre:tests/ai-memory.test.js,214,"`String.raw` should be used to avoid escaping `\`.",5min,"String literals with escaped backslashes should use `String.raw` template literals","",""
660859ad-cfa9-4396-8cc6-c075bdc72a03,CODE_SMELL,MINOR,strategic-learning-unified-theatre:tests/ai-memory.test.js,229,"`String.raw` should be used to avoid escaping `\`.",5min,"String literals with escaped backslashes should use `String.raw` template literals","",""
4a235384-4db3-45e4-97f4-1150a0df62ae,CODE_SMELL,MINOR,strategic-learning-unified-theatre:vscode-extension/collector.js,3,"Remove this unused import of 'os'.",1min,"Unnecessary imports should be removed","",""
0b732bd2-9987-4498-88b9-e6814b0592fd,CODE_SMELL,MINOR,strategic-learning-unified-theatre:vscode-extension/collector.js,112,"Prefer `String#replaceAll()` over `String#replace()`.",5min,"Strings should use ""replaceAll()"" instead of ""replace()"" with global regex","",""
